chapter,KJV,BBE
1Chronicles1,"Adam, Sheth, Enosh, Kenan, Mahalaleel, Jered, Henoch, Methuselah, Lamech, Noah, Shem, Ham, and Japheth. The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.","Adam, Seth, Enosh; Kenan, Mahalalel, Jared, Enoch, Methuselah, Lamech; Noah, Shem, Ham, and Japheth. The sons of Japheth: Gomer and Magog and Madai and Javan and Tubal and Meshech and Tiras."
1Chronicles10,"Now the Philistines fought against Israel; and the men of Israel fled from before the Philistines, and fell down slain in mount Gilboa. And the Philistines followed hard after Saul, and after his sons; and the Philistines slew Jonathan, and Abinadab, and Malchishua, the sons of Saul.","Now the Philistines were fighting against Israel; and the men of Israel went in flight before the Philistines, falling down wounded in Mount Gilboa. And the Philistines went hard after Saul and his sons, and put to death Jonathan and Abinadab and Malchi-shua, the sons of Saul."
1Chronicles11,"Then all Israel gathered themselves to David unto Hebron, saying, Behold, we are thy bone and thy flesh. And moreover in time past, even when Saul was king, thou wast he that leddest out and broughtest in Israel: and the Lord thy God said unto thee, Thou shalt feed my people Israel, and thou shalt be ruler over my people Israel.","Then all Israel came together to David at Hebron, and said, Truly, we are your bone and your flesh. In the past, when Saul was king, it was you who went at the head of Israel when they went out or came in; and the Lord your God said to you, You are to be the keeper of my people Israel, and their ruler."
1Chronicles12,"Now these are they that came to David to Ziklag, while he yet kept himself close because of Saul the son of Kish: and they were among the mighty men, helpers of the war. They were armed with bows, and could use both the right hand and the left in hurling stones and shooting arrows out of a bow, even of Saul's brethren of Benjamin.","Now these are the men who came to David at Ziklag, while he was still shut up, because of Saul, the son of Kish; they were among the strong men, his helpers in war. They were armed with bows, and were able to send stones, and arrows from the bow, with right hand or left: they were Saul's brothers, of Benjamin."
1Chronicles13,"And David consulted with the captains of thousands and hundreds, and with every leader. And David said unto all the congregation of Israel, If it seem good unto you, and that it be of the Lord our God, let us send abroad unto our brethren every where, that are left in all the land of Israel, and with them also to the priests and Levites which are in their cities and suburbs, that they may gather themselves unto us: And let us bring again the ark of our God to us: for we enquired not at it in the days of Saul.","Then David had discussions with the captains of thousands and the captains of hundreds and with every chief. And David said to all the men of Israel who had come together there, If it seems good to you and if it is the purpose of the Lord our God, let us send to all the rest of our brothers, everywhere in the land of Israel, and to the priests and the Levites in their towns and the country round them, and get them to come together here to us; And let us get back for ourselves the ark of our God: for in the days of Saul we did not go to it for directions."
1Chronicles14,"Now Hiram king of Tyre sent messengers to David, and timber of cedars, with masons and carpenters, to build him an house. And David perceived that the Lord had confirmed him king over Israel, for his kingdom was lifted up on high, because of his people Israel.","And Hiram, king of Tyre, sent men to David with cedar-trees, and stoneworkers and woodworkers for the building of his house. And David saw that the Lord had made his position safe as king over Israel, lifting up his kingdom on high because of his people Israel."
1Chronicles15,"And David made him houses in the city of David, and prepared a place for the ark of God, and pitched for it a tent. Then David said, None ought to carry the ark of God but the Levites: for them hath the Lord chosen to carry the ark of God, and to minister unto him for ever.","And David made houses for himself in the town of David; and he got ready a place for the ark of God, and put up a tent for it. Then David said, The ark of God may not be moved by any but the Levites, for they have been marked out by God to take the ark of God, and to do his work for ever."
1Chronicles16,"So they brought the ark of God, and set it in the midst of the tent that David had pitched for it: and they offered burnt sacrifices and peace offerings before God. And when David had made an end of offering the burnt offerings and the peace offerings, he blessed the people in the name of the Lord.","Then they took in the ark of God and put it inside the tent which David had put up for it; and they made offerings, burned offerings and peace-offerings before God. And when David had come to an end of making the burned offerings and peace-offerings, he gave the people a blessing in the name of the Lord."
1Chronicles17,"Now it came to pass, as David sat in his house, that David said to Nathan the prophet, Lo, I dwell in an house of cedars, but the ark of the covenant of the Lord remaineth under curtains. Then Nathan said unto David, Do all that is in thine heart; for God is with thee.","Now when David was living in his house, he said to Nathan the prophet, See, I am living in a house of cedar-wood, but the ark of the Lord's agreement is under the curtains of a tent. And Nathan said to David, Do whatever is in your heart, for God is with you."
1Chronicles18,"Now after this it came to pass, that David smote the Philistines, and subdued them, and took Gath and her towns out of the hand of the Philistines. And he smote Moab; and the Moabites became David's servants, and brought gifts.","And it came about after this that David made an attack on the Philistines and overcame them, and took Gath with its daughter-towns out of the hands of the Philistines. And he overcame Moab, and the Moabites became his servants and gave him offerings."
1Chronicles19,"Now it came to pass after this, that Nahash the king of the children of Ammon died, and his son reigned in his stead. And David said, I will shew kindness unto Hanun the son of Nahash, because his father shewed kindness to me.","Now it came about after this that death came to Nahash, the king of the children of Ammon, and his son became king in his place. And David said, I will be a friend to Hanun, the son of Nahash, because his father was a friend to me."
1Chronicles2,"These are the sons of Israel; Reuben, Simeon, Levi, and Judah, Issachar, and Zebulun, Dan, Joseph, and Benjamin, Naphtali, Gad, and Asher. The sons of Judah; Er, and Onan, and Shelah: which three were born unto him of the daughter of Shua the Canaanitess.","These are the sons of Israel: Reuben, Simeon, Levi and Judah, Issachar and Zebulun; Dan, Joseph and Benjamin, Naphtali, Gad and Asher. The sons of Judah: Er and Onan and Shelah; these three were his sons by Bathshua, the Canaanite woman."
1Chronicles20,"And it came to pass, that after the year was expired, at the time that kings go out to battle, Joab led forth the power of the army, and wasted the country of the children of Ammon, and came and besieged Rabbah. But David tarried at Jerusalem.","Now in the spring, at the time when kings go out to war, Joab went out at the head of the armed forces and made waste all the land of the Ammonites and put his men in position before Rabbah, shutting it in. But David was still at Jerusalem."
1Chronicles21,"And Satan stood up against Israel, and provoked David to number Israel. And David said to Joab and to the rulers of the people, Go, number Israel from Beersheba even to Dan; and bring the number of them to me, that I may know it.","Now Satan, designing evil against Israel, put into David's mind the impulse to take the number of Israel. And David said to Joab and the captains of the people, Now let all Israel, from Beer-sheba to Dan, be numbered; and give me word so that I may be certain of their number."
1Chronicles22,"Then David said, This is the house of the Lord God, and this is the altar of the burnt offering for Israel. And David commanded to gather together the strangers that were in the land of Israel; and he set masons to hew wrought stones to build the house of God.","Then David said, This is the house of the Lord God, and this is the altar for Israel's burned offerings. And David gave orders to get together all the men from strange lands who were in the land of Israel; and he put stone-cutters to work, cutting stones for building the house of God."
1Chronicles23,"So when David was old and full of days, he made Solomon his son king over Israel. And he gathered together all the princes of Israel, with the priests and the Levites.","Now David was old and full of days; and he made his son Solomon king over Israel. And he got together all the chiefs of Israel, with the priests and the Levites."
1Chronicles24,"Now these are the divisions of the sons of Aaron. The sons of Aaron; Nadab, and Abihu, Eleazar, and Ithamar.","Now the divisions into which the sons of Aaron were grouped were these: the sons of Aaron, Nadab and Abihu, Eleazar and Ithamar. But Nadab and Abihu came to their end before their father, and had no children; so Eleazar and Ithamar did the work of priests."
1Chronicles25,"Moreover David and the captains of the host separated to the service of the sons of Asaph, and of Heman, and of Jeduthun, who should prophesy with harps, with psalteries, and with cymbals: and the number of the workmen according to their service was: Of the sons of Asaph; Zaccur, and Joseph, and Nethaniah, and Asarelah, the sons of Asaph under the hands of Asaph, which prophesied according to the order of the king. Of Jeduthun: the sons of Jeduthun; Gedaliah, and Zeri, and Jeshaiah, Hashabiah, and Mattithiah, six, under the hands of their father Jeduthun, who prophesied with a harp, to give thanks and to praise the Lord.","Further, David and the chiefs of the servants of the holy place made selection of certain of the sons of Asaph and of Heman and of Jeduthun for the work of prophets, to make melody with corded instruments and brass; and the number of the men for the work they had to do was: Of the sons of Asaph: Zaccur and Joseph and Nethaniah and Asharelah, sons of Asaph; under the direction of Asaph, acting as a prophet under the orders of the king; Of Jeduthun: the six sons of Jeduthun, Gedaliah and Zeri and Jeshaiah, Hashabiah and Mattithiah; under the direction of their father Jeduthun who, acting as a prophet, with corded instruments gave praise and glory to the Lord. Of Heman, the sons of Heman: Bukkiah, Mattaniah, Uzziel, Shebuel and Jerimoth, Hananiah, Hanani, Eliathah, Giddalti and Romamti-ezer, Joshbekashah, Mallothi, Hothir, Mahazioth; All these were sons of Heman, the king's seer in the words of God."
1Chronicles26,"Concerning the divisions of the porters: Of the Korhites was Meshelemiah the son of Kore, of the sons of Asaph. And the sons of Meshelemiah were, Zechariah the firstborn, Jediael the second, Zebadiah the third, Jathniel the fourth, Elam the fifth, Jehohanan the sixth, Elioenai the seventh.","For the divisions of the door-keepers: of the Korahites, Meshelemiah, the son of Kore, of the sons of Ebiasaph. And Meshelemiah had sons: Zechariah the oldest, Jediael the second, Zebadiah the third, Jathniel the fourth, Elam the fifth, Jehohanan the sixth, Eliehoenai the seventh."
1Chronicles27,"Now the children of Israel after their number, to wit, the chief fathers and captains of thousands and hundreds, and their officers that served the king in any matter of the courses, which came in and went out month by month throughout all the months of the year, of every course were twenty and four thousand. Over the first course for the first month was Jashobeam the son of Zabdiel: and in his course were twenty and four thousand.","Now the number of the children of Israel, that is, the heads of families, and the captains of thousands and of hundreds, and the men in authority who were servants of the king in anything to do with the divisions which came in and went out month by month through all the months of the year, in every division were twenty-four thousand. Over the first division for the first month was Ishbaal, the son of Zabdiel; and in his division were twenty-four thousand."
