chapter,KJV,BBE
Jeremiah37,"And king Zedekiah the son of Josiah reigned instead of Coniah the son of Jehoiakim, whom Nebuchadrezzar king of Babylon made king in the land of Judah. But neither he, nor his servants, nor the people of the land, did hearken unto the words of the Lord, which he spake by the prophet Jeremiah.","And Zedekiah, the son of Josiah, became king in place of Coniah, the son of Jehoiakim, whom Nebuchadrezzar, king of Babylon, made king in the land of Judah. But he and his servants and the people of the land did not give ear to the words of the Lord which he said by Jeremiah the prophet."
Zechariah6,"And I turned, and lifted up mine eyes, and looked, and, behold, there came four chariots out from between two mountains; and the mountains were mountains of brass. In the first chariot were red horses; and in the second chariot black horses; And in the third chariot white horses; and in the fourth chariot grisled and bay horses.","And again lifting up my eyes I saw four war-carriages coming out from between the two mountains; and the mountains were mountains of brass. In the first war-carriage were red horses; and in the second, black horses; And in the third, white horses; and in the fourth, horses of mixed colour."
2Chronicles7,"Now when Solomon had made an end of praying, the fire came down from heaven, and consumed the burnt offering and the sacrifices; and the glory of the Lord filled the house. And the priests could not enter into the house of the Lord, because the glory of the Lord had filled the Lord's house.","Now when Solomon's prayers were ended, fire came down from heaven, burning up all the offerings; and the house was full of the glory of the Lord. And the priests were not able to go into the house of the Lord, for the Lord's house was full of the glory of the Lord."
Joshua3,"And Joshua rose early in the morning; and they removed from Shittim, and came to Jordan, he and all the children of Israel, and lodged there before they passed over. And it came to pass after three days, that the officers went through the host; And they commanded the people, saying, When ye see the ark of the covenant of the Lord your God, and the priests the Levites bearing it, then ye shall remove from your place, and go after it.","Then Joshua got up early in the morning, and, moving on from Shittim, he and all the children of Israel came to Jordan and were there for the night before going over. And at the end of three days, the men in authority over the people went through the tents, Giving the people their orders, and saying, When you see the ark of the agreement of the Lord your God lifted up by the priests, the Levites, then get up from your places and go after it; But let there be a space between you and it of about two thousand cubits: come no nearer to it, so that you may see the way you have to go, for you have not been over this way before."
Ezra3,"And when the seventh month was come, and the children of Israel were in the cities, the people gathered themselves together as one man to Jerusalem. Then stood up Jeshua the son of Jozadak, and his brethren the priests, and Zerubbabel the son of Shealtiel, and his brethren, and builded the altar of the God of Israel, to offer burnt offerings thereon, as it is written in the law of Moses the man of God.","And when the seventh month came, and the children of Israel were in the towns, the people came together like one man to Jerusalem. Then Jeshua, the son of Jozadak, and his brothers the priests, and Zerubbabel, the son of Shealtiel, with his brothers, got up and made the altar of the God of Israel for burned offerings as is recorded in the law of Moses, the man of God."
1Samuel20,"And David fled from Naioth in Ramah, and came and said before Jonathan, What have I done? what is mine iniquity?","And David went in flight from Naioth in Ramah and came to Jonathan and said, What have I done? What is my crime and my sin against your father that he is attempting to take my life?"
1Samuel16,"And the Lord said unto Samuel, How long wilt thou mourn for Saul, seeing I have rejected him from reigning over Israel? fill thine horn with oil, and go, I will send thee to Jesse the Bethlehemite: for I have provided me a king among his sons.","And the Lord said to Samuel, How long will you go on sorrowing for Saul, seeing that I have put him from his place as king over Israel? Take oil in your vessel and go; I will send you to Jesse, the Beth-lehemite: for I have got a king for myself among his sons."
2Samuel21,"Then there was a famine in the days of David three years, year after year; and David enquired of the Lord. And the Lord answered, It is for Saul, and for his bloody house, because he slew the Gibeonites.","In the days of David they were short of food for three years, year after year; and David went before the Lord for directions. And the Lord said, On Saul and on his family there is blood, because he put the Gibeonites to death."
Ezekiel38,"And the word of the Lord came unto me, saying, Son of man, set thy face against Gog, the land of Magog, the chief prince of Meshech and Tubal, and prophesy against him, And say, Thus saith the Lord God; Behold, I am against thee, O Gog, the chief prince of Meshech and Tubal: And I will turn thee back, and put hooks into thy jaws, and I will bring thee forth, and all thine army, horses and horsemen, all of them clothed with all sorts of armour, even a great company with bucklers and shields, all of them handling swords: Persia, Ethiopia, and Libya with them; all of them with shield and helmet: Gomer, and all his bands; the house of Togarmah of the north quarters, and all his bands: and many people with thee. Be thou prepared, and prepare for thyself, thou, and all thy company that are assembled unto thee, and be thou a guard unto them.","And the word of the Lord came to me, saying, Son of man, let your face be turned against Gog, of the land of Magog, the ruler of Rosh, Meshech, and Tubal, and be a prophet against him, And say, This is what the Lord has said: See, I am against you, O Gog, ruler of Rosh, Meshech, and Tubal: And turning you round, I will put hooks in your mouth and make you come out with all your army, horses and horsemen, all of them in full war-dress, a great force with breastplate and body-cover, all of them armed with swords: Persia, Cush, and Put with them; all of them with body-cover and metal head-dress: Gomer and all her forces; the people of Togarmah in the inmost parts of the north, with all his forces: a great number of peoples with you. Be ready, make yourself ready, you and all the forces who are with you, and be ready for my orders."
Job5,"Call now, if there be any that will answer thee; and to which of the saints wilt thou turn? For wrath killeth the foolish man, and envy slayeth the silly one.",Give now a cry for help; is there anyone who will give you an answer? and to which of the holy ones will you make your prayer?
